entry_date,expiry_date,S_entry,S_exit,atm_strike,short_call_k,short_put_k,long_call_k,long_put_k,straddle_pnl,strangle_pnl,condor_pnl,straddle_credit,strangle_credit,condor_credit
2024-12-27,2025-01-02,23813.4,24188.65,23800,24150,23550,24350,23300,-100.15000000000146,38.04999999999855,12.999999999998547,288.5,76.7,51.650000000000006
2025-01-03,2025-01-09,24004.75,23526.5,24000,24350,23700,24550,23400,-162.70000000000005,-84.05000000000001,-112.15,310.79999999999995,89.44999999999999,61.34999999999999
2025-01-10,2025-01-16,23431.5,23311.8,23450,23800,23100,24000,22800,172.49999999999926,86.4,53.00000000000001,310.7,86.4,53.00000000000001
2025-01-17,2025-01-23,23203.2,23205.35,23200,23550,22850,23800,22550,327.65000000000146,94.75,65.3,333.0,94.75,65.3
2025-01-24,2025-01-30,23092.2,23249.5,23100,23450,22750,23700,22450,183.39999999999998,95.35,64.55,332.9,95.35,64.55
2025-02-01,2025-02-06,23482.15,23603.35,23500,23800,23200,24050,22900,177.75000000000148,85.5,53.05,281.1,85.5,53.05
2025-02-07,2025-02-13,23559.95,23031.4,23550,23900,23250,24150,23000,-215.59999999999854,-135.09999999999854,-161.19999999999854,303.0,83.5,57.4
2025-02-14,2025-02-20,22929.25,22913.15,22950,23300,22600,23550,22300,290.05000000000143,92.35,62.449999999999996,326.9,92.35,62.449999999999996
2025-02-20,2025-02-27,22913.15,22545.05,22900,23250,22600,23500,22300,-26.700000000000728,46.29999999999927,15.799999999999272,328.25,101.25,70.75
2025-02-28,2025-03-06,22124.7,22544.7,22100,22450,21850,22650,21600,-143.90000000000072,-10.450000000000728,-39.90000000000073,300.8,84.25,54.8
2025-03-07,2025-03-13,22552.5,22397.2,22550,22850,22250,23000,22000,119.50000000000068,72.3,44.5,272.29999999999995,72.3,44.5
2025-03-13,2025-03-20,22397.2,23190.65,22400,22700,22100,22850,21850,-520.1500000000015,-420.45000000000147,-106.19999999999999,270.5,70.2,43.800000000000004
2025-03-21,2025-03-27,23350.4,23591.95,23350,23650,23100,23800,22850,7.149999999999267,67.1,39.949999999999996,249.1,67.1,39.949999999999996
2025-03-27,2025-04-03,23591.95,23250.1,23600,24000,23300,24350,23000,-20.000000000001478,48.69999999999854,14.349999999998538,329.9,98.6,64.25
2025-04-03,2025-04-09,23250.1,22399.15,23250,23600,22900,23800,22600,-532.0499999999986,-414.59999999999854,-243.3,318.8,86.25,56.7
2025-04-09,2025-04-17,22399.15,23851.65,22400,23050,21700,23400,20900,-833.6500000000015,-624.6500000000015,-239.54999999999995,618.0,177.0,110.45
2025-04-17,2025-04-24,23851.65,24246.7,23850,24250,23400,24600,22950,-11.950000000000728,111.75,68.45,384.75,111.75,68.45
2025-04-24,2025-04-30,24246.7,24334.2,24250,24650,23800,24950,23350,307.44999999999925,118.05,75.85,391.65,118.05,75.85
2025-05-02,2025-05-08,24346.7,24273.8,24350,24650,23900,24950,23400,238.04999999999927,100.0,60.75,314.25,100.0,60.75
2025-05-09,2025-05-15,24008.0,25062.1,24000,24450,23400,24750,22600,-610.2499999999985,-467.79999999999853,-210.95000000000005,451.85,144.3,89.05000000000001
2025-05-16,2025-05-22,25019.8,24609.7,25000,25400,24600,25750,24200,-30.599999999999284,106.9,69.75,359.7,106.9,69.75
2025-05-23,2025-05-29,24853.15,24833.6,24850,25300,24450,25550,24050,389.19999999999857,116.1,75.3,405.6,116.1,75.3
2025-05-30,2025-06-05,24750.7,24750.9,24750,25200,24350,25500,24050,409.84999999999854,118.3,77.1,410.75,118.3,77.1
2025-06-06,2025-06-12,25003.05,24888.2,25000,25350,24650,25600,24350,220.1000000000007,99.5,65.15,331.9,99.5,65.15
2025-06-13,2025-06-19,24718.6,24793.25,24700,25100,24300,25350,23850,265.45,105.95,66.5,358.7,105.95,66.5
2025-06-20,2025-06-26,25112.4,25549.0,25100,25450,24750,25650,24300,-141.04999999999995,-8.549999999999997,-42.65,307.95000000000005,90.45,56.35
2025-06-27,2025-07-03,25637.8,25405.3,25650,25950,25350,26150,25050,24.499999999999318,80.25,49.6,269.20000000000005,80.25,49.6
2025-07-04,2025-07-10,25461.0,25355.25,25450,25800,25200,26000,24900,178.55,79.2,50.45,273.3,79.2,50.45
2025-07-11,2025-07-17,25149.85,25111.45,25150,25450,24900,25700,24650,205.8500000000007,73.05,46.449999999999996,244.39999999999998,73.05,46.449999999999996
2025-07-18,2025-07-24,24968.4,25062.1,24950,25300,24700,25500,24450,151.80000000000143,72.85,43.39999999999999,263.9,72.85,43.39999999999999
2025-07-25,2025-07-31,24837.0,24768.35,24850,25150,24600,25400,24350,156.34999999999854,71.2,44.5,238.0,71.2,44.5
2025-08-01,2025-08-07,24565.35,24596.15,24550,24900,24250,25100,23950,248.29999999999853,85.85,54.599999999999994,294.45,85.85,54.599999999999994
2025-08-08,2025-08-14,24363.3,24631.3,24350,24700,24100,24900,23850,-18.94999999999925,71.5,44.0,262.35,71.5,44.0
2025-08-14,2025-08-21,24631.3,25083.75,24650,24950,24350,25200,24000,-150.89999999999998,-45.849999999999994,-73.55,282.85,87.9,60.2
2025-08-21,2025-08-28,25083.75,24500.9,25100,25350,24850,25550,24600,-356.9999999999985,-273.94999999999857,-199.05,242.1,75.15,50.95
2025-08-26,2025-09-02,24712.05,24579.6,24700,25050,24450,25300,24150,147.59999999999854,77.44999999999999,47.69999999999999,268.0,77.44999999999999,47.69999999999999
2025-09-03,2025-09-09,24715.05,24868.6,24700,24950,24500,25150,24250,54.900000000001455,70.19999999999999,47.999999999999986,223.5,70.19999999999999,47.999999999999986
2025-09-10,2025-09-16,24973.1,25239.1,24950,25250,24750,25450,24550,-58.54999999999853,61.4,39.25,230.55,61.4,39.25
2025-09-17,2025-09-23,25330.25,25169.5,25350,25600,25100,25800,24900,38.55000000000001,61.349999999999994,38.89999999999999,219.05,61.349999999999994,38.89999999999999
2025-09-24,2025-09-30,25056.9,24611.1,25050,25350,24850,25500,24650,-223.70000000000147,-185.40000000000146,-168.3,215.2,53.5,31.700000000000003
2025-09-30,2025-10-07,24611.1,25108.3,24600,24950,24350,25100,24150,-238.1499999999993,-91.94999999999928,-111.55000000000001,270.15,66.35,38.449999999999996
2025-10-08,2025-10-14,25046.15,25145.5,25050,25300,24850,25450,24650,107.9,59.95,36.900000000000006,203.4,59.95,36.900000000000006
2025-10-14,2025-10-20,25145.5,25843.15,25150,25450,24850,25650,24550,-410.45000000000147,-310.10000000000144,-144.95,282.7,83.05000000000001,55.05000000000001
2025-10-21,2025-10-28,25868.6,25936.2,25850,26150,25600,26350,25350,173.29999999999927,76.2,50.550000000000004,259.5,76.2,50.550000000000004
2025-10-29,2025-11-04,26053.9,25597.65,26050,26450,25800,26650,25550,-147.89999999999856,-122.34999999999854,-152.14999999999856,304.45,80.0,50.2
2025-11-04,2025-11-11,25597.65,25694.95,25600,25950,25300,26150,25050,193.6499999999993,76.6,47.55,288.6,76.6,47.55
2025-11-12,2025-11-18,25875.8,25910.05,25900,26200,25600,26400,25300,256.75000000000074,74.85,47.8,266.8,74.85,47.8
2025-11-19,2025-11-25,26052.65,25884.8,26050,26350,25750,26600,25500,122.54999999999927,84.3,57.25,287.75,84.3,57.25
2025-11-26,2025-12-02,26205.3,26032.2,26200,26500,25950,26700,25650,97.20000000000073,79.4,54.550000000000004,265.0,79.4,54.550000000000004
2025-12-03,2025-12-09,25986.0,25839.65,26000,26300,25750,26500,25550,81.85000000000144,64.6,41.099999999999994,242.2,64.6,41.099999999999994
2025-12-10,2025-12-16,25758.0,25860.1,25750,26050,25500,26300,25250,148.40000000000146,77.30000000000001,52.40000000000001,258.5,77.30000000000001,52.40000000000001
2025-12-17,2025-12-23,25818.55,26177.15,25800,26100,25600,26300,25400,-141.05000000000146,-11.55000000000146,-33.15000000000146,236.1,65.6,43.99999999999999
2025-12-23,2025-12-30,26177.15,25938.85,26200,26450,25950,26600,25700,-38.150000000001455,49.599999999998545,28.799999999998544,223.0,60.75,39.95
2025-12-31,2026-01-06,26129.6,26178.7,26150,26350,25950,26500,25750,171.79999999999927,62.050000000000004,41.800000000000004,200.5,62.050000000000004,41.800000000000004
2026-01-07,2026-01-13,26140.75,25732.3,26150,26350,25950,26500,25800,-225.05000000000072,-159.75000000000074,-113.10000000000002,192.65,57.95,36.900000000000006
2026-01-13,2026-01-20,25732.3,25232.5,25750,26050,25450,26300,25150,-246.39999999999998,-137.25,-165.25,271.1,80.25,52.25
2026-01-20,2026-01-27,25232.5,25175.4,25250,25600,24900,25900,24500,255.90000000000146,102.55,66.15,330.5,102.55,66.15
2026-01-29,2026-02-03,25418.9,25727.55,25400,25850,25000,26150,24650,49.55000000000075,103.75,66.05,377.1,103.75,66.05
2026-02-04,2026-02-10,25776.0,25935.15,25800,26150,25400,26450,25000,189.09999999999854,94.55,57.75,324.25,94.55,57.75
2026-02-11,2026-02-17,25953.85,25725.4,25950,26250,25700,26450,25400,16.950000000001467,70.15,41.0,241.55,70.15,41.0
2026-02-18,2026-02-24,25819.35,25424.65,25800,26100,25500,26300,25150,-113.94999999999857,1.4495071809506044e-12,-30.14999999999855,261.4,75.35,45.199999999999996
2026-02-24,2026-03-02,25424.65,24865.7,25400,25850,25050,26100,24700,-169.19999999999925,-84.84999999999927,-122.94999999999928,365.1,99.45,61.35
2026-03-04,2026-03-10,24473.95,24286.15,24450,25050,23700,25400,23250,458.9500000000014,185.4,132.95,622.8,185.4,132.95
2026-03-11,2026-03-17,23848.2,23558.8,23850,24450,23150,24850,22550,298.0499999999993,170.14999999999998,107.29999999999998,589.25,170.14999999999998,107.29999999999998
2026-03-18,2026-03-24,23764.1,22958.4,23750,24200,23250,24500,22700,-372.39999999999856,-166.89999999999856,-213.94999999999857,419.2,124.7,77.65
2026-03-23,2026-03-30,22492.65,22379.2,22500,23350,21500,23900,20850,730.3500000000007,239.14999999999998,139.09999999999997,851.15,239.14999999999998,139.09999999999997
2026-03-30,2026-04-07,22379.2,23129.95,22400,23200,21500,23750,21400,39.899999999999295,212.15,152.25,769.85,212.15,152.25
2026-04-07,2026-04-13,23129.95,23818.9,23150,23800,22350,24150,21650,8.449999999998568,180.54999999999853,111.59999999999853,677.35,199.45,130.5
2026-04-15,2026-04-21,24211.9,24580.6,24200,24650,23700,24950,23300,62.8500000000015,127.25,83.9,443.45000000000005,127.25,83.9
2026-04-22,2026-04-28,24367.65,24016.5,24350,24850,23900,25150,23550,101.64999999999998,118.55000000000001,76.80000000000001,435.15,118.55000000000001,76.80000000000001
2026-04-28,2026-05-05,24016.5,24052.15,24000,24500,23550,24800,23200,365.04999999999853,112.8,73.1,417.2,112.8,73.1
