date,open,high,low,close,volume,oi
2024-11-01T00:00:00+05:30,84.135,84.165,84.13,84.14,1065,0
2024-11-04T00:00:00+05:30,84.1425,84.1925,84.135,84.18,260194,0
2024-11-05T00:00:00+05:30,84.19,84.195,84.1675,84.17,601666,0
2024-11-06T00:00:00+05:30,84.19,84.61,84.19,84.3775,644262,0
2024-11-07T00:00:00+05:30,84.335,84.435,84.335,84.405,467198,0
2024-11-08T00:00:00+05:30,84.4,84.4375,84.4,84.4325,567888,0
2024-11-11T00:00:00+05:30,84.44,84.4425,84.4,84.4325,557583,0
2024-11-12T00:00:00+05:30,84.435,84.4575,84.41,84.4225,812784,0
2024-11-13T00:00:00+05:30,84.4275,84.4425,84.4075,84.4325,96956,0
2024-11-14T00:00:00+05:30,84.44,84.51,84.43,84.505,129498,0
2024-11-18T00:00:00+05:30,84.44,84.475,84.4025,84.44,136274,0
2024-11-19T00:00:00+05:30,84.42,84.47,84.415,84.45,166665,0
2024-11-21T00:00:00+05:30,84.4375,84.535,84.425,84.53,201938,0
2024-11-22T00:00:00+05:30,84.51,84.515,84.41,84.43,186364,0
2024-11-25T00:00:00+05:30,84.4,84.4,84.2525,84.31,873491,0
2024-11-26T00:00:00+05:30,84.28,84.3475,84.2225,84.3025,1118339,0
2024-11-27T00:00:00+05:30,84.39,84.475,84.39,84.47,396139,0
2024-11-28T00:00:00+05:30,84.5525,84.63,84.5525,84.595,1323906,0
2024-11-29T00:00:00+05:30,84.62,84.71,84.6,84.665,962535,0
2024-12-02T00:00:00+05:30,84.7075,84.855,84.7,84.8375,1835439,0
2024-12-03T00:00:00+05:30,84.9,84.9,84.755,84.8025,465946,0
2024-12-04T00:00:00+05:30,84.81,84.8775,84.765,84.87,141281,0
2024-12-05T00:00:00+05:30,84.865,84.865,84.795,84.8175,169605,0
2024-12-06T00:00:00+05:30,84.78,84.7975,84.5725,84.79,303893,0
2024-12-09T00:00:00+05:30,84.7975,84.8375,84.78,84.83,139490,0
2024-12-10T00:00:00+05:30,84.86,84.97,84.86,84.9575,613369,0
2024-12-11T00:00:00+05:30,84.96,84.98,84.9175,84.9575,694513,0
2024-12-12T00:00:00+05:30,84.9475,84.98,84.935,84.9725,481806,0
2024-12-13T00:00:00+05:30,84.98,84.98,84.8575,84.8775,160153,0
2024-12-16T00:00:00+05:30,84.88,85.0475,84.87,85.0075,353102,0
2024-12-17T00:00:00+05:30,85.03,85.05,84.975,84.9975,163154,0
2024-12-18T00:00:00+05:30,85,85.8125,84.9925,85.015,549189,0
2024-12-19T00:00:00+05:30,85.225,85.75,85.1,85.185,635726,0
2024-12-20T00:00:00+05:30,85.18,85.18,85.005,85.0225,362444,0
2024-12-23T00:00:00+05:30,85.075,85.17,85.01,85.145,1022161,0
2024-12-24T00:00:00+05:30,85.1525,85.245,85.15,85.21,1477899,0
2024-12-26T00:00:00+05:30,85.2575,85.2925,85.15,85.28,1269739,0
2024-12-27T00:00:00+05:30,85.29,86.62,85.29,85.6675,761510,0
2024-12-30T00:00:00+05:30,85.7175,85.8375,85.685,85.775,310508,0
2024-12-31T00:00:00+05:30,85.79,85.905,85.75,85.88,480092,0
2025-01-01T00:00:00+05:30,85.88,85.92,85.6825,85.8475,200251,0
2025-01-02T00:00:00+05:30,85.86,86,85.84,85.94,661176,0
2025-01-03T00:00:00+05:30,85.975,85.99,85.9,85.9575,402978,0
2025-01-06T00:00:00+05:30,86.04,86.85,85.8825,85.9325,366166,0
2025-01-07T00:00:00+05:30,85.845,85.95,85.8225,85.91,195787,0
2025-01-08T00:00:00+05:30,85.9725,86.085,85.96,86.07,496411,0
2025-01-09T00:00:00+05:30,86.085,86.3025,86.0225,86.0325,333763,0
