date,nifty_gap,nifty_ret,gift_ret,crude_ret,usdinr_ret
2024-11-04,0.00046894186597359796,-0.012795285095394087,-0.009275105482616697,0.005994023940210426,0.0004752851800498413
2024-11-05,-0.003291464269764861,0.009042007396008536,0.008514031302859845,0.004967720101934447,-0.00011880011893988103
2024-11-06,0.0039342988649567435,0.01111981616471547,0.007952328190495015,0.0034627786270851556,0.002462215159889868
2024-11-07,0.0002266524967511187,-0.011696111838928169,-0.006574591778201425,0.0088496152769826,0.0003258631699772696
2024-11-08,0.00034499107393730046,-0.002115930138503043,-0.008875370444525396,-0.02863248968183213,0.0003257570177619087
2024-11-11,-0.0025271882998505277,-0.0002857764129660236,0.004509450580676937,-0.03311447815942575,0.0
2024-11-12,0.003494114221051988,-0.01073831629523262,-0.014699267752389904,0.0024267649281883,-0.0001184448196581951
2024-11-13,-0.0025573370692035394,-0.01367571506132014,-0.008666622747332712,0.0034566228679107514,0.00011844481965814079
2024-11-14,-0.0007176038285745402,-0.001119092102119271,-4.225471140657518e-05,-0.005016009825160381,0.0008583056390774062
2024-11-18,0.0030803198016305672,-0.0033584146152224673,0.003916315160277373,0.026115690332366274,-0.000769481230071508
2024-11-19,0.0032245493620861295,0.002754816814055903,0.004112614971518768,0.006509101433112332,0.00011842027368931146
2024-11-21,-0.001278534518552537,-0.007194644035988204,-0.008574452431433663,0.013125561316367156,0.0009468576870271857
2024-11-22,0.0026474673142841128,0.023589058766826355,0.024632824422432087,0.020615831114923475,-0.0011837122594276946
2024-11-25,0.014381238204526458,0.01307542239477766,0.012606077248717372,-0.03408462222700612,-0.0014223067468242961
2024-11-26,0.0049994750505898515,-0.0011318480070857482,-0.0037857790621807427,-0.008619256946717802,-8.89613759946664e-05
2024-11-27,0.0004256259968840268,0.0033175600994260466,0.0028201214668266963,0.0008652765098139022,0.00198492118081576
2024-11-28,-3.089658809220255e-05,-0.014972560750343969,-0.007054921271909857,0.010838815788114043,0.00147872147135445
2024-11-29,0.0005434635062160074,0.009031131050783837,0.00996959728184706,-0.005146691751768917,0.0008271299065443369
2024-12-02,0.00040396131221489705,0.005988802614002176,0.0010038001846669707,-0.006038144801043266,0.0020353689125728715
2024-12-03,0.0037600096103520557,0.007432339089484512,0.003882785766617867,0.0256249073895897,-0.00041263853450407983
2024-12-04,0.0012912217117443604,0.0004210560802611515,2.0395884111340233e-05,-0.013755842277753212,0.0007956504862127576
2024-12-05,0.0029261385674442396,0.009799604002543387,0.012364604673264544,-0.007380107297622534,-0.0006187845501309388
2024-12-06,0.0008515743007465783,-0.0012392127321359235,-0.0036933551575376805,-0.013702408473931466,-0.0003242781155429062
2024-12-09,-0.0017805109780322818,-0.0023855515118706054,-0.00018199282189663128,0.01714179277584106,0.00047164250373172575
2024-12-10,0.0013658972342784007,-0.00036360645182499104,-0.0028352726676991783,0.0034275954722674975,0.0015018776289907531
2024-12-11,0.00042453314687529166,0.0012892918498735822,0.003886329885371514,0.015111926944598349,0.0
2024-12-12,-0.0015168670573497223,-0.003785288263568475,-0.008378435614931973,0.007387541993116153,0.00017654328298671355
2024-12-13,-0.002053131337640099,0.008905710055423979,0.009488929898959208,0.010649019102734138,-0.001118634205551482
2024-12-16,-0.0006017564198974493,-0.004047618071851404,-0.0029303310010130876,-0.0033156529049381193,0.001530447365860067
2024-12-17,-0.0033886258760904373,-0.01356025614827435,-0.014371138634739633,-0.015395217049908034,-0.00011764359885328048
2024-12-18,-0.001564750869037426,-0.005651624144595778,-0.01997018059946614,0.010901575469843402,0.00020586721637295133
2024-12-19,-0.013383176703996255,-0.010265808823608006,0.0036588338834399473,-0.010395801202971396,0.0019976504880565003
2024-12-20,0.0003756856306866171,-0.015322391854064712,-0.007940956295732873,0.0008423890650618407,-0.0019094346532570114
2024-12-23,0.006368654213782392,0.007010872394205524,0.0013033700262145636,-0.00625054826653631,0.0014397581343193206
2024-12-24,0.0006586347140776074,-0.0010867483078192092,0.0023082582906413115,0.013298739887508694,0.0007631123612965716
2024-12-26,0.0020272218750376973,0.000949916716770124,0.004963309002626454,-0.0006691201320242076,0.000821162577669889
2024-12-27,0.002153450978980006,0.0026574959504618452,0.0011691756556612076,0.009824406718978544,0.0045335633887218585
