predictor,lag,F_stat,p_value
gift_ret,1,123.51361122889935,7.650294641145174e-25
gift_ret,2,74.68392253410474,8.706613565291483e-28
gift_ret,3,48.518298779202816,2.958898074138906e-26
gift_ret,4,37.19766547288606,6.696052483124033e-26
gift_ret,5,29.578586594310703,5.429286429732e-25
crude_ret,1,7.608216296943227,0.006109357742411088
crude_ret,2,3.9697327536204137,0.019724948236798028
crude_ret,3,5.0038446437889155,0.002072025368015415
crude_ret,4,3.9145346520784954,0.0040101511338277145
crude_ret,5,3.3220803174011015,0.006055310055767713
usdinr_ret,1,8.011850220475838,0.004910244530625862
usdinr_ret,2,4.148705015308332,0.016558911189017644
usdinr_ret,3,3.329647802351365,0.019763429793091543
usdinr_ret,4,2.4890390024620186,0.0431302025362483
usdinr_ret,5,1.9814541702374735,0.08080190458821367
