date,open,high,low,close
2024-01-01,21727.75,21834.35,21680.85,21741.9
2024-01-02,21751.35,21755.6,21555.65,21665.8
2024-01-03,21661.1,21677.0,21500.35,21517.35
2024-01-04,21605.8,21685.65,21564.55,21658.6
2024-01-08,21747.6,21763.95,21492.9,21513.0
2024-01-09,21653.6,21724.45,21517.85,21544.85
2024-01-10,21529.3,21641.85,21448.65,21618.7
2024-01-12,21773.55,21928.25,21715.15,21894.55
2024-01-15,22053.15,22115.55,21963.55,22097.45
2024-01-16,22080.5,22124.15,21969.8,22032.3
2024-01-17,21647.25,21851.5,21550.45,21571.95
2024-01-18,21414.2,21539.4,21285.55,21462.25
2024-01-19,21615.2,21670.6,21575.0,21622.4
2024-01-20,21706.15,21720.3,21541.8,21571.8
2024-01-23,21716.7,21749.25,21193.0,21238.8
2024-01-24,21185.25,21482.35,21137.2,21453.95
2024-01-25,21454.6,21459.0,21247.05,21352.6
2024-01-29,21433.1,21763.25,21429.6,21737.6
2024-01-30,21775.75,21813.05,21501.8,21522.1
2024-01-31,21487.25,21741.35,21448.85,21725.7
2024-02-01,21780.65,21832.95,21658.75,21697.45
2024-02-06,21825.2,21951.4,21737.55,21929.4
2024-02-07,22045.05,22053.3,21860.15,21930.5
2024-02-08,22009.65,22011.05,21665.3,21717.95
2024-02-13,21664.3,21766.8,21543.35,21743.25
2024-02-14,21578.15,21870.85,21530.2,21840.05
2024-02-15,21906.55,21953.85,21794.8,21910.75
2024-02-16,22020.3,22068.65,21968.95,22040.7
2024-02-19,22103.45,22186.65,22021.05,22122.25
2024-02-20,22099.2,22215.6,22045.85,22196.95
2024-02-21,22248.85,22249.4,21997.95,22055.05
2024-02-22,22081.55,22252.5,21875.25,22217.45
2024-02-23,22290.0,22297.5,22186.1,22212.7
2024-02-26,22169.2,22202.15,22075.15,22122.05
2024-02-27,22090.2,22218.25,22085.65,22198.35
2024-02-28,22214.1,22229.15,21915.85,21951.15
2024-02-29,21935.2,22060.55,21860.65,21982.8
2024-03-01,22048.3,22353.3,22047.75,22338.75
2024-03-02,22406.95,22420.25,22366.95,22378.4
2024-03-04,22403.5,22440.9,22358.3,22405.6
2024-03-06,22327.5,22497.2,22224.35,22474.05
2024-03-11,22517.5,22526.6,22307.25,22332.65
2024-03-13,22432.2,22446.75,21905.65,21997.7
2024-03-14,21982.55,22204.6,21917.5,22146.65
2024-03-15,22064.85,22120.9,21931.7,22023.35
2024-03-18,21990.1,22123.7,21916.55,22055.7
2024-03-19,21946.45,21978.3,21793.1,21817.45
2024-03-20,21843.9,21930.9,21710.2,21839.1
2024-03-21,21989.9,22080.95,21941.3,22011.95
2024-03-22,21932.2,22180.7,21883.3,22096.75
2024-03-26,21947.9,22073.2,21947.55,22004.7
2024-03-27,22053.95,22193.6,22052.85,22123.65
2024-03-28,22163.6,22516.0,22163.6,22326.9
2024-04-01,22455.0,22529.95,22427.75,22462.0
2024-04-02,22458.8,22497.6,22388.15,22453.3
2024-04-03,22385.7,22521.1,22346.5,22434.65
2024-04-04,22592.1,22619.0,22303.8,22514.65
2024-04-05,22486.4,22537.6,22427.6,22513.7
2024-04-08,22578.35,22697.3,22550.35,22666.3
2024-04-09,22765.1,22768.4,22612.25,22642.75
